"Oid","CreatedBy","UpdatedBy","CreatedOn","UpdatedOn","Description","AlternativeDescription","Active","Ordering","OptimisticLockField"
1,,,2021-01-01 00:00:00,2021-01-01 00:00:00,ROUND NECK,,1,0,
2,,,2021-01-01 00:00:00,2021-01-01 00:00:00,COLLAR,,1,0,
3,,,2021-01-01 00:00:00,2021-01-01 00:00:00,TURTLENECK,,1,0,
4,,,2021-01-01 00:00:00,2021-01-01 00:00:00,HOODED,,1,0,
5,,,2021-01-01 00:00:00,2021-01-01 00:00:00,V NECK,,1,0,
6,,,2021-01-01 00:00:00,2021-01-01 00:00:00,OFF SHOULDER,,1,0,
7,,,2021-01-01 00:00:00,2021-01-01 00:00:00,HALTERNECK,,1,0,
8,,,2021-01-01 00:00:00,2021-01-01 00:00:00,V-NECK,,1,0,
9,,,2021-01-01 00:00:00,2021-01-01 00:00:00,OFF-SHOULDER,,1,0,
